"usertype","starting_hour","number_of_trips"
"Customer","0","1884"
"Subscriber","0","13057"
"Customer","1","1188"
"Subscriber","1","7466"
"Customer","2","715"
"Subscriber","2","4313"
"Customer","3","438"
"Subscriber","3","2921"
"Customer","4","318"
"Subscriber","4","5443"
"Customer","5","1119"
"Subscriber","5","28002"
"Customer","6","2499"
"Subscriber","6","86053"
"Customer","7","5251"
"Subscriber","7","188565"
"Customer","8","8543"
"Subscriber","8","239594"
"Customer","9","9558"
"Subscriber","9","113416"
"Customer","10","14020"
"Subscriber","10","83339"
"Customer","11","18464"
"Subscriber","11","99514"
"Customer","12","20779"
"Subscriber","12","113316"
"Customer","13","21934"
"Subscriber","13","109406"
"Customer","14","22948"
"Subscriber","14","106386"
"Customer","15","23242"
"Subscriber","15","137008"
"Customer","16","24789"
"Subscriber","16","245567"
"Customer","17","26876"
"Subscriber","17","325027"
"Customer","18","21203"
"Subscriber","18","203821"
"Customer","19","15497"
"Subscriber","19","130805"
"Customer","20","10419"
"Subscriber","20","82908"
"Customer","21","7293"
"Subscriber","21","58921"
"Customer","22","5828"
"Subscriber","22","39239"
"Customer","23","3599"
"Subscriber","23","22946"
